PERIODSEQ;NAME
2533274790398826;Enero 2026
2533274790398842;Enero 2027
2533274790398859;Enero 2028
2533274790398876;Enero 2029
2533274790396877;Febrero 2000
2533274790396894;Febrero 2001
2533274790396911;Febrero 2002
2533274790396928;Febrero 2003
2533274790396945;Febrero 2004
2533274790396962;Febrero 2005
2533274790398900;Febrero 2006
2533274790395913;Febrero 2006
2533274790398912;Febrero 2007
2533274790398924;Febrero 2008
2533274790398936;Febrero 2009
2533274790398127;Febrero 2010
2533274790398139;Febrero 2011
2533274790398151;Febrero 2012
2533274790398163;Febrero 2013
2533274790398537;Febrero 2014
2533274790398639;Febrero 2015
2533274790398656;Febrero 2016
2533274790398673;Febrero 2017
2533274790398690;Febrero 2018
2533274790398707;Febrero 2019
2533274790398725;Febrero 2020
2533274790398742;Febrero 2021
2533274790398759;Febrero 2022
2533274790398776;Febrero 2023
2533274790398793;Febrero 2024
2533274790398810;Febrero 2025
2533274790398827;Febrero 2026
2533274790398843;Febrero 2027
2533274790398860;Febrero 2028
2533274790398877;Febrero 2029
2533274790395913;February 2006
2533274790395930;February 2007
2533274790395947;February 2008
2533274790395964;February 2009
2533274790395982;February 2010
2533274790395999;February 2011
2533274790396016;February 2012
2533274790396033;February 2013
2533274790396050;February 2014
2533274790395912;January 2006
2533274790395929;January 2007
2533274790395946;January 2008
2533274790395963;January 2009
2533274790395981;January 2010
2533274790395998;January 2011
2533274790396015;January 2012
2533274790396032;January 2013
2533274790396049;January 2014
2533274790396882;Julio 2000
2533274790396899;Julio 2001
2533274790396916;Julio 2002
2533274790396933;Julio 2003
2533274790396950;Julio 2004
2533274790396967;Julio 2005
2533274790398905;Julio 2006
2533274790398917;Julio 2007
2533274790398929;Julio 2008
2533274790398941;Julio 2009
2533274790398132;Julio 2010
2533274790398144;Julio 2011
2533274790398156;Julio 2012
2533274790398168;Julio 2013
2533274790398542;Julio 2014
2533274790398644;Julio 2015
2533274790398661;Julio 2016
2533274790398678;Julio 2017
2533274790398695;Julio 2018
2533274790398712;Julio 2019
2533274790398815;Julio 202
2533274790398730;Julio 2020
2533274790398747;Julio 2021
2533274790398764;Julio 2022
2533274790398781;Julio 2023
2533274790398798;Julio 2024
2533274790398815;Julio 2025
2533274790398832;Julio 2026
2533274790398848;Julio 2027
2533274790398865;Julio 2028
2533274790398882;Julio 2029
2533274790395918;July 2006
2533274790395935;July 2007
2533274790395952;July 2008
2533274790395969;July 2009
2533274790395987;July 2010
2533274790396004;July 2011
2533274790396021;July 2012
2533274790396038;July 2013
2533274790396055;July 2014
2533274790395917;June 2006
2533274790395934;June 2007
2533274790395951;June 2008
2533274790395968;June 2009
2533274790395986;June 2010
2533274790396003;June 2011
2533274790396020;June 2012
2533274790396037;June 2013
2533274790396054;June 2014
2533274790396881;Junio 2000
2533274790396898;Junio 2001
2533274790396915;Junio 2002
2533274790396932;Junio 2003
2533274790396949;Junio 2004
2533274790396966;Junio 2005
2533274790398904;Junio 2006
2533274790398916;Junio 2007
2533274790398928;Junio 2008
2533274790398940;Junio 2009
2533274790398131;Junio 2010
2533274790398143;Junio 2011
2533274790398155;Junio 2012
2533274790398167;Junio 2013
2533274790398541;Junio 2014
2533274790398643;Junio 2015
2533274790398660;Junio 2016
2533274790398677;Junio 2017
2533274790398694;Junio 2018
2533274790398711;Junio 2019
2533274790398729;Junio 2020
2533274790398746;Junio 2021
2533274790398763;Junio 2022
2533274790398780;Junio 2023
2533274790398797;Junio 2024
2533274790398814;Junio 2025
2533274790398831;Junio 2026
2533274790398847;Junio 2027
2533274790398864;Junio 2028
2533274790398881;Junio 2029
2533274790395914;March 2006
2533274790395931;March 2007
2533274790395948;March 2008
2533274790395965;March 2009
2533274790395983;March 2010
2533274790396000;March 2011
2533274790396017;March 2012
2533274790396034;March 2013
2533274790396051;March 2014
2533274790396878;Marzo 2000
2533274790396895;Marzo 2001
2533274790396912;Marzo 2002
2533274790396929;Marzo 2003
2533274790396946;Marzo 2004
2533274790396963;Marzo 2005
2533274790398901;Marzo 2006
2533274790398913;Marzo 2007
2533274790398925;Marzo 2008
2533274790398937;Marzo 2009
2533274790398128;Marzo 2010
2533274790398140;Marzo 2011
2533274790398152;Marzo 2012
2533274790398164;Marzo 2013
2533274790398538;Marzo 2014
2533274790398640;Marzo 2015
2533274790398657;Marzo 2016
2533274790398674;Marzo 2017
2533274790398691;Marzo 2018
2533274790398708;Marzo 2019
2533274790398726;Marzo 2020
2533274790398743;Marzo 2021
2533274790398760;Marzo 2022
2533274790398777;Marzo 2023
2533274790398794;Marzo 2024
2533274790398811;Marzo 2025
2533274790398828;Marzo 2026
2533274790398844;Marzo 2027
2533274790398861;Marzo 2028
2533274790398878;Marzo 2029
2533274790395916;May 2006
2533274790395933;May 2007
2533274790395950;May 2008
2533274790395967;May 2009
2533274790395985;May 2010
2533274790396002;May 2011
2533274790396019;May 2012
2533274790396036;May 2013
2533274790396053;May 2014
2533274790396880;Mayo 2000
2533274790396897;Mayo 2001
2533274790396914;Mayo 2002
2533274790396931;Mayo 2003
2533274790396948;Mayo 2004
2533274790396965;Mayo 2005
2533274790398903;Mayo 2006
2533274790398915;Mayo 2007
2533274790398927;Mayo 2008
2533274790398939;Mayo 2009
2533274790398130;Mayo 2010
2533274790398142;Mayo 2011
2533274790398154;Mayo 2012
2533274790398166;Mayo 2013
2533274790398540;Mayo 2014
2533274790398642;Mayo 2015
2533274790398659;Mayo 2016
2533274790398676;Mayo 2017
2533274790398693;Mayo 2018
2533274790398710;Mayo 2019
2533274790398880;Mayo 202
2533274790398728;Mayo 2020
2533274790398745;Mayo 2021
2533274790398762;Mayo 2022
2533274790398779;Mayo 2023
2533274790398796;Mayo 2024
2533274790398813;Mayo 2025
2533274790398830;Mayo 2026
2533274790398846;Mayo 2027
2533274790398863;Mayo 2028
2533274790398880;Mayo 2029
2533274790395922;November 2006
2533274790395939;November 2007
2533274790395956;November 2008
2533274790395973;November 2009
2533274790395991;November 2010
2533274790396008;November 2011
2533274790396025;November 2012
2533274790396042;November 2013
2533274790396059;November 2014
2533274790396886;Noviembre 2000
2533274790396903;Noviembre 2001
2533274790396920;Noviembre 2002
2533274790396937;Noviembre 2003
2533274790396954;Noviembre 2004
2533274790397986;Noviembre 2005
2533274790398909;Noviembre 2006
2533274790398921;Noviembre 2007
2533274790398933;Noviembre 2008
2533274790398945;Noviembre 2009
2533274790398136;Noviembre 2010
2533274790398148;Noviembre 2011
2533274790398160;Noviembre 2012
2533274790398172;Noviembre 2013
2533274790398546;Noviembre 2014
2533274790398648;Noviembre 2015
2533274790398665;Noviembre 2016
2533274790398682;Noviembre 2017
2533274790398699;Noviembre 2018
2533274790398716;Noviembre 2019
2533274790398734;Noviembre 2020
2533274790398751;Noviembre 2021
2533274790398768;Noviembre 2022
2533274790398785;Noviembre 2023
2533274790398802;Noviembre 2024
2533274790398819;Noviembre 2025
2533274790398835;Noviembre 2026
2533274790398852;Noviembre 2027
2533274790398869;Noviembre 2028
2533274790398886;Noviembre 2029
2533274790395921;October 2006
2533274790395938;October 2007
2533274790395955;October 2008
2533274790395972;October 2009
2533274790395990;October 2010
2533274790396007;October 2011
2533274790396024;October 2012
2533274790396041;October 2013
2533274790396058;October 2014
2533274790396885;Octubre 2000
2533274790396902;Octubre 2001
2533274790396919;Octubre 2002
2533274790396936;Octubre 2003
2533274790396953;Octubre 2004
2533274790397985;Octubre 2005
2533274790398908;Octubre 2006
2533274790398920;Octubre 2007
2533274790398932;Octubre 2008
2533274790398944;Octubre 2009
2533274790398135;Octubre 2010
2533274790398147;Octubre 2011
2533274790398159;Octubre 2012
2533274790398171;Octubre 2013
2533274790398545;Octubre 2014
2533274790398647;Octubre 2015
2533274790398664;Octubre 2016
2533274790398681;Octubre 2017
2533274790398698;Octubre 2018
2533274790398715;Octubre 2019
2533274790398733;Octubre 2020
2533274790398750;Octubre 2021
2533274790398767;Octubre 2022
2533274790398784;Octubre 2023
2533274790398801;Octubre 2024
2533274790398818;Octubre 2025
2533274790398834;Octubre 2026
2533274790398851;Octubre 2027
2533274790398868;Octubre 2028
2533274790398885;Octubre 2029
2533274790396872;Q1 2000
2533274790396889;Q1 2001
2533274790396906;Q1 2002
2533274790396923;Q1 2003
2533274790396940;Q1 2004
2533274790396957;Q1 2005
2533274790395908;Q1 2006
2533274790395925;Q1 2007
2533274790395942;Q1 2008
2533274790395959;Q1 2009
2533274790395977;Q1 2010
2533274790395994;Q1 2011
2533274790396011;Q1 2012
2533274790396028;Q1 2013
2533274790398532;Q1 2014
2533274790396045;Q1 2014
2533274790398634;Q1 2015
2533274790398651;Q1 2016
2533274790398668;Q1 2017
2533274790398685;Q1 2018
2533274790398702;Q1 2019
2533274790398720;Q1 2020
2533274790398737;Q1 2021
2533274790398754;Q1 2022
2533274790398771;Q1 2023
2533274790398788;Q1 2024
2533274790398805;Q1 2025
2533274790398822;Q1 2026
2533274790398838;Q1 2027
2533274790398855;Q1 2028
2533274790398872;Q1 2029
2533274790396873;Q2 2000
2533274790396890;Q2 2001
2533274790396907;Q2 2002
2533274790396924;Q2 2003
2533274790396941;Q2 2004
2533274790396958;Q2 2005
2533274790395909;Q2 2006
2533274790395926;Q2 2007
2533274790395943;Q2 2008
2533274790395960;Q2 2009
2533274790395978;Q2 2010
2533274790395995;Q2 2011
2533274790396012;Q2 2012
2533274790396029;Q2 2013
2533274790396046;Q2 2014
2533274790398533;Q2 2014
2533274790398635;Q2 2015
2533274790398652;Q2 2016
2533274790398669;Q2 2017
2533274790398686;Q2 2018
2533274790398703;Q2 2019
2533274790398721;Q2 2020
2533274790398738;Q2 2021
2533274790398755;Q2 2022
2533274790398772;Q2 2023
2533274790398789;Q2 2024
2533274790398806;Q2 2025
2533274790398823;Q2 2026
2533274790398839;Q2 2027
2533274790398856;Q2 2028
2533274790398873;Q2 2029
2533274790396874;Q3 2000
2533274790396891;Q3 2001
2533274790396908;Q3 2002
2533274790396925;Q3 2003
2533274790396942;Q3 2004
2533274790396959;Q3 2005
2533274790395910;Q3 2006
2533274790395927;Q3 2007
2533274790395944;Q3 2008
2533274790395961;Q3 2009
2533274790395979;Q3 2010
2533274790395996;Q3 2011
2533274790396013;Q3 2012
2533274790396030;Q3 2013
2533274790398534;Q3 2014
2533274790396047;Q3 2014
2533274790398636;Q3 2015
2533274790398653;Q3 2016
2533274790398670;Q3 2017
2533274790398687;Q3 2018
2533274790398704;Q3 2019
2533274790398722;Q3 2020
2533274790398739;Q3 2021
2533274790398756;Q3 2022
2533274790398773;Q3 2023
2533274790398790;Q3 2024
2533274790398807;Q3 2025
2533274790398824;Q3 2026
2533274790398840;Q3 2027
2533274790398857;Q3 2028
2533274790398874;Q3 2029
2533274790396875;Q4 2000
2533274790396892;Q4 2001
2533274790396909;Q4 2002
2533274790396926;Q4 2003
2533274790396943;Q4 2004
2533274790396960;Q4 2005
2533274790395911;Q4 2006
2533274790395928;Q4 2007
2533274790395945;Q4 2008
2533274790395962;Q4 2009
2533274790395980;Q4 2010
2533274790395997;Q4 2011
2533274790396014;Q4 2012
2533274790396031;Q4 2013
2533274790396048;Q4 2014
2533274790398535;Q4 2014
2533274790398637;Q4 2015
2533274790398654;Q4 2016
2533274790398671;Q4 2017
2533274790398688;Q4 2018
2533274790398705;Q4 2019
2533274790398723;Q4 2020
2533274790398740;Q4 2021
2533274790398757;Q4 2022
2533274790398774;Q4 2023
2533274790398791;Q4 2024
2533274790398808;Q4 2025
2533274790398825;Q4 2026
2533274790398841;Q4 2027
2533274790398858;Q4 2028
2533274790398875;Q4 2029
2533274790395905;Root Period
2533274790395920;September 2006
2533274790395937;September 2007
2533274790395954;September 2008
2533274790395971;September 2009
2533274790395989;September 2010
2533274790396006;September 2011
2533274790396023;September 2012
2533274790396040;September 2013
2533274790396057;September 2014
2533274790396884;Septiembre 2000
2533274790396901;Septiembre 2001
2533274790396918;Septiembre 2002
2533274790396935;Septiembre 2003
2533274790396952;Septiembre 2004
2533274790396969;Septiembre 2005
2533274790398907;Septiembre 2006
2533274790398919;Septiembre 2007
2533274790398931;Septiembre 2008
2533274790398943;Septiembre 2009
2533274790398134;Septiembre 2010
2533274790398146;Septiembre 2011
2533274790398158;Septiembre 2012
2533274790398170;Septiembre 2013
2533274790398544;Septiembre 2014
2533274790398646;Septiembre 2015
2533274790398663;Septiembre 2016
2533274790398680;Septiembre 2017
2533274790398697;Septiembre 2018
2533274790398714;Septiembre 2019
2533274790398732;Septiembre 2020
2533274790398749;Septiembre 2021
2533274790398766;Septiembre 2022
2533274790398783;Septiembre 2023
2533274790398800;Septiembre 2024
2533274790398817;Septiembre 2025
2533274790398833;Septiembre 2026
2533274790398850;Septiembre 2027
2533274790398867;Septiembre 2028
2533274790398884;Septiembre 2029
2533274790396871;2000
2533274790396888;2001
2533274790396905;2002
2533274790396922;2003
2533274790396939;2004
2533274790396956;2005
2533274790395907;2006
2533274790395924;2007
2533274790395941;2008
2533274790395958;2009
2533274790395976;2010
2533274790395993;2011
2533274790396010;2012
2533274790396027;2013
2533274790396044;2014
2533274790398531;2014
2533274790398633;2015
2533274790398650;2016
2533274790398667;2017
2533274790398684;2018
2533274790398701;2019
2533274790398719;2020
2533274790398736;2021
2533274790398753;2022
2533274790398770;2023
2533274790398787;2024
2533274790398804;2025
2533274790398821;2026
2533274790398837;2027
2533274790398854;2028
2533274790398871;2029
